objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll002,IMG_0054.jpg,,AC holder before,Cady Favazzo,2020-06-06,Raw wooden frame used hold AC awaits painting on a tarp.,crafts;painting;before,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll003,IMG_0056.jpg,,AC holder primed with grey,Cady Favazzo,2020-06-06,AC frame is primed with grey.,crafts;painting,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll004,IMG_0096.jpg,,AC holder taped for painting,Cady Favazzo,2020-06-08,AC frame is taped with triangles to create a stained glass effect.,crafts;painting,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll005,IMG_0110.jpg,,AC holder taped and painted,Cady Favazzo,2020-06-08,"AC frame is taped and painted, drying before the tape can be removed.",crafts;painting,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll006,IMG_0116.jpg,,AC holder with stained glass effect,Cady Favazzo,2020-06-08,AC frame is has been painted and the tape removed.,crafts;painting;after,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll007,IMG_0522.jpg,,Duck Card,Cady Favazzo,2021-05-02,A Mother's Day collage card featuring ducks and ducklings.,crafts;cards;collage;mother's day,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll008,IMG_0523.jpg,,Sugar Beet Card,Cady Favazzo,2021-05-02,"A Mother's Day collage card featuring wildflowers, maps, and a sugar beet.",crafts;cards;collage;mother's day,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll009,IMG_0524.jpg,,Seashell Card,Cady Favazzo,2021-05-02,A collage card featuring three sea shells on a floral background.,crafts;cards;collage ,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll010,IMG_0525.jpg,,Shrew Card,Cady Favazzo,2021-05-02,A Mother's Day collage card featuring a shrew. A very bad idea.,crafts;cards;collage;mother's day,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll011,IMG_2301.jpg,,Scary Card,Cady Favazzo,2020-10-20,A birthday card that is frightening.,crafts;cards;collage,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll012,IMG_9467.jpg,,Goat Card,Cady Favazzo,2020-02-10,A goat Valentine's Day card,crafts;cards;collage,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll013,IMG_3648.jpg,,Pronghorn Card,Cady Favazzo,2021-02-10,A pronghorn Valentine's Day Card.,"crafts;cards;collage,wildlife","Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll014,IMG_2391.jpg,,Shauna,Cady Favazzo,2020-10-31,"Shauna, a stuffed creature made of scrap fabric, sits on a leopard pillow.",crafts;sewing;creatures,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll015,IMG_2435.jpg,,Creatures,Cady Favazzo,2020-11-03,Two stuffed mini-creatures sit on a bookshelf.,crafts;sewing;creatures,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll016,IMG_2556.jpg,,Emmy's Creature,Cady Favazzo,2020-11-18,"A stuffed creature, made of my favorite sweater, who I gave to a friend for Christmas. ",crafts;sewing;creatures,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll017,IMG_2577.jpg,,Little Velvet Monster,Cady Favazzo,2020-11-19,"A stuffed creature, made of a velvet blouse, poses before a rainbow backdrop.",crafts;sewing;creatures,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll018,IMG_3092.jpg,,Tie Dye Guy,Cady Favazzo,2020-12-18,A stuffed creature made of tie dye flannel. ,crafts;sewing;creatures,"Cody, Wyoming",44.5263,-109.0565,,,Image;StillImage,image/jpeg,,,
coll019,IMG_3176.jpg,,Robin's Monster,Cady Favazzo,2020-12-28,A corduroy creature stuffed with rice and scented with essential oils.,crafts;sewing;creatures,"Cody, Wyoming",44.5263,-109.0565,,,Image;StillImage,image/jpeg,,,
coll020,IMG_2517.jpg,,Antler Curtain,Cady Favazzo,2020-11-15,"A piece of wall art made from a large, found antler, circles of paper, and clear thread.",crafts;wildlife,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll021,IMG_2932.jpg,,Wildlife Christmas Cards,Cady Favazzo,2020-12-15,Two collage Christmas cards featuring wildlife image with seasonal flair.,crafts;cards;wildlife,"Cody, Wyoming",44.5263,-109.0565,,,,,,,
