objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll002,acholder.JPG,,AC holder before,Cady Favazzo,2020-06-06,Raw wooden frame used hold AC awaits painting on a tarp.,crafts;painting;acholder;before,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll003,acholder2.JPEG,,AC holder primed with grey,Cady Favazzo,2020-06-06,AC frame is primed with grey.,crafts;painting;acholder,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll004,acholder3.JPG,,AC holder taped for painting,Cady Favazzo,2020-06-08,AC frame is taped with triangles to create a stained glass effect.,crafts;painting;acholder,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll005,acholder4.JPEG,,AC holder taped and painted,Cady Favazzo,2020-06-08,"AC frame is taped and painted, drying before the tape can be removed.",crafts;painting;acholder,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll006,acholder5.JPG,,AC holder with stained glass effect,Cady Favazzo,2020-06-08,AC frame is has been painted and the tape removed.,crafts;painting;after;acholder,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll007,duckcard.JPEG,,Duck Card,Cady Favazzo,2021-05-02,A Mother's Day collage card featuring ducks and ducklings.,crafts;cards;collage;mother's day,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll008,sugarbeetcard.JPEG,,Sugar Beet Card,Cady Favazzo,2021-05-02,"A Mother's Day collage card featuring wildflowers, maps, and a sugar beet.",crafts;cards;collage;mother's day,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll009,seashellcard.JPEG,,Seashell Card,Cady Favazzo,2021-05-02,A collage card featuring three sea shells on a floral background.,crafts;cards;collage ,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll010,shrewcard.JPEG,,Shrew Card,Cady Favazzo,2021-05-02,A Mother's Day collage card featuring a shrew. A very bad idea.,crafts;cards;collage;mother's day,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll011,scarycard.JPEG,,Scary Card,Cady Favazzo,2020-10-20,A birthday card that is frightening.,crafts;cards;collage,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll012,goatcard.JPEG,,Goat Card,Cady Favazzo,2020-02-10,A goat Valentine's Day card,crafts;cards;collage,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll013,pronghorncard.JPG,,Pronghorn Card,Cady Favazzo,2021-02-10,A pronghorn Valentine's Day Card.,"crafts;cards;collage,wildlife","Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll014,shauna.JPG,,Shauna,Cady Favazzo,2020-10-31,"Shauna, a stuffed creature made of scrap fabric, sits on a leopard pillow.",crafts;sewing;creatures,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll015,creatures.JPG,,Creatures,Cady Favazzo,2020-11-03,Two stuffed mini-creatures sit on a bookshelf.,crafts;sewing;creatures,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll016,emmymonster.JPG,,Emmy's Creature,Cady Favazzo,2020-11-18,"A stuffed creature, made of my favorite sweater, who I gave to a friend for Christmas. ",crafts;sewing;creatures,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll017,littlevelvet.JPG,,Little Velvet Monster,Cady Favazzo,2020-11-19,"A stuffed creature, made of a velvet blouse, poses before a rainbow backdrop.",crafts;sewing;creatures,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll018,tiedyeguy.JPG,,Tie Dye Guy,Cady Favazzo,2020-12-18,A stuffed creature made of tie dye flannel. ,crafts;sewing;creatures,"Cody, Wyoming",44.5263,-109.0565,,,Image;StillImage,image/jpeg,,,
coll019,robminmonster.JPEG,,Robin's Monster,Cady Favazzo,2020-12-28,A corduroy creature stuffed with rice and scented with essential oils.,crafts;sewing;creatures,"Cody, Wyoming",44.5263,-109.0565,,,Image;StillImage,image/jpeg,,,
coll020,antlercurtain.JPG,,Antler Curtain,Cady Favazzo,2020-11-15,"A piece of wall art made from a large, found antler, circles of paper, and clear thread.",crafts;wildlife,"Moscow, Idaho",46.7324,-117.0002,,,Image;StillImage,image/jpeg,,,
coll021,wildlifechristmas.JPG,,Wildlife Christmas Cards,Cady Favazzo,2020-12-15,Two collage Christmas cards featuring wildlife image with seasonal flair.,crafts;cards;wildlife,"Cody, Wyoming",44.5263,-109.0565,,,,,,,
